employee_id,skill_id,proficiency_level,years_experience
1,1,5,1
1,5,3,3
1,6,3,2
1,21,3,1
1,22,5,5
1,26,3,5
1,27,4,1
1,28,3,1
2,11,3,2
2,12,5,5
2,13,3,5
2,26,3,5
2,27,4,2
2,28,4,5
2,29,4,1
3,1,3,4
3,4,4,3
3,5,3,2
3,9,4,1
3,15,3,4
3,16,3,3
3,17,4,5
3,28,4,1
3,29,5,4
4,1,5,1
4,6,4,1
4,7,5,3
4,8,5,5
4,21,4,5
4,22,3,1
4,26,3,2
4,28,4,1
5,10,3,1
5,22,4,3
5,26,4,3
5,27,3,3
5,28,4,2
5,29,5,3
5,30,5,1
6,14,5,2
6,26,5,2
6,27,3,4
6,28,4,3
6,29,5,5
6,30,3,3
7,1,3,2
7,4,3,3
7,16,4,3
7,17,3,2
7,19,5,3
7,28,3,4
7,29,4,4
8,2,3,3
8,3,3,2
8,18,5,5
8,21,5,3
8,23,5,5
8,24,4,5
8,27,4,3
8,28,3,2
9,11,5,4
9,12,3,1
9,13,3,2
9,25,5,2
9,27,5,4
9,28,5,1
10,23,4,4
10,24,5,4
10,25,5,3
10,26,5,1
10,27,5,1
10,28,5,5
